ID;Artist;Title;Rec. Comp.;Year;Type;Country;Cat. No. I;Cat. No. II;Barcode;Medium;Discs;Vinyl type;L.E.;Label lettering;Label background;Sleeve type;Sleeve graphics;Sleeve finish;Sleeve features;Sleeve lettering;Sleeve background;Price code;Inner bag;Insert;Sealed?;Remark
1;David Bowie;David Bowie;Deram;1967;Commercial;USA;DES 18003;;;LP;1;Black;-;Black and white;Red and white;Single;PS;;;Black, blue and white;Blue and green;;;No;;Stereo issue
2;David Bowie;David Bowie (Space oddity);Philips;1969;Commercial;United Kingdom;SBL 7912;;;LP;1;Black;-;Silver;Black;Gatefold;PS;;;White;Blue and green;;;No;;"""Essex Music Int. Ltd."" printed in lower rectangle on both label 1 and 2"
3;David Bowie;The world of David Bowie;Decca;1970;Commercial;United Kingdom;SPA 58;SPA.58;-;LP;1;Black;-;Silver;Blue;Single;PS;Front laminated;-;Black and white;Multi;No;Company inner bag;No;No;"""Curly hair cover"". No rectangular boxes surrounding ""BIEM"" and ""NCB"". ""Stereo"" above hole"
4;David Bowie;The man who sold the world;Mercury;1971;Commercial;United Kingdom;6338041;;;LP;1;Black;-;Silver;Black;Single;PS;;;Orange and white;Multi;;;No;;"""Dress cover"". ""Tonny"" instead of ""Tony"" Visconti on the labels"
5;David Bowie;The man who sold the world;Mercury;1970;Commercial;USA;SR 61325;;;LP;1;Black;-;Black;Red;Single;AS;;;Multi;White;;;No;;"""Cartoon cover"""
6;David Bowie;Hunky Dory;RCA Victor;1971;Commercial;United Kingdom;SF 8244;;;LP;1;Black;-;Black;Orange;Single;AS;;;Black, brown and white;Beige and black;;;No;;No MainMan logo
7;David Bowie;The man who sold the world;RCA Victor;1972;Commercial;United Kingdom;LSP 4816;;;LP;1;Black;-;Black;Orange;Single;PS;;;White;Black;;;Poster;;"""Ziggy cover"". lyrics on inner sleeve. no MainMan credit on cover"
8;David Bowie;The rise and fall of Ziggy Stardust and The Spiders from Mars;RCA Victor;1972;Commercial;Germany;LSP 4702;;;LP;1;Black;-;Black;Orange;Gatefold;PS;;;Multi;Multi;No;;No;;RCA Schallplatten edition
9;David Bowie;The world of David Bowie;Decca;1973;Commercial;United Kingdom;SPA 58;-;-;LP;1;Black;-;Silver;Blue;Single;PS;Front laminated;-;Black and white;Multi;No;Company inner bag;No;No;"""Ziggy cover"". ""Stereo"" on label placed between hole and title (not above hole). ""Rubber band"" typo corrected on this label. Square with mono-to-stereo info on labels"
10;David Bowie;Space oddity;RCA Victor;1972;Commercial;United Kingdom;LSP 4813;;;LP;1;Black;-;Black;Orange;Single;PS;;;Blue, indigo and white;Multi;;Lyrics bag;Poster;;"""Ziggy cover"". lyrics on inner sleeve. no MainMan credit on cover"
11;David Bowie;Pin Ups;RCA Victor;1973;Commercial;Germany;APL 1-0291;;;LP;1;Black;-;Black;Orange;Gatefold;PS;Matt;-;Multi;Blue;;;No;;"Telefunken edition. matt sleeve. label typo: ""See Emtly play"". No RCA logo on the front cover"
12;David Bowie;Pin Ups;RCA Victor;1973;Commercial;United Kingdom;RS 1003;;;LP;1;Black;-;Black;Orange;Single;PS;;;Black, red and yellow;Blue;;;Lyrics;;"Lyrics on ""Where have all the good times gone"". Canadian label - (mix-and-match cover/label)"
13;David Bowie;Aladdin Sane;RCA Victor;1973;Commercial;Germany;LSP 4852;;;LP;1;Black;-;Black;Orange;Gatefold;PS;;;Blue and red;White;No;;Lyrics;;RCA Schallplatten edition
14;David Bowie;Images 1966-1967;London;1973;Commercial;USA;BP 628/9;SAHS 1632 BW/SABB 94985;-;LP;2;Black;-;Blue and silver;Blue and silver;Gatefold;AS;Matt;-;Multi;White;No;White die cut;No;No;"""Cartoon cover"""
15;David Bowie;Images;Deram;1983;Commercial;United Kingdom;DPA 3017/8;-;-;LP;2;Black;-;Burgundy and silver;Burgundy and silver;Gatefold;PS;Glossy;-;Multi;Green and white;No;White die cut;No;No;"""Stereo"" printed above label hole"
16;David Bowie;Diamond dogs;RCA Victor;1974;Commercial;United Kingdom;APL1-0576;APL1 0576;-;LP;1;Black;-;Black;Orange;Gatefold;PS;Matt;-;Multi;Multi;HH;White die cut;No;No;Has both writing credits and publishing credits after titles on labels
17;David Bowie;David live;RCA;1982;Commercial;United Kingdom;APL2-0771;;;LP;2;Black;-;Silver;Black;Gatefold;PS;;;Blue;Black;;;Insert;;4th issue. Lifetimes
18;David Bowie;Rock Concert;RCA;1979;Commercial;Netherlands;PL-42993;-;-;LP;1;Black;-;Black;Orange;Single;AS;Glossy;-;Orange and white;Black;No;;No;No;"Same as ""At the tower of Philadelphia"""
19;David Bowie;Young Americans;RCA Victor;1975;Commercial;USA;APL1-0998;-;-;LP;1;Black;-;Black;Tan;Single;PS;Textured;-;Red and white;Black;No;Lyrics bag;No;No;-
